Company,Date,JobLoc,JobTitle,Qualifications,Salary,Text
Qumu Corporation,1 day ago,Chicago,Regional Sales Manager- (RSM-2) *Remote,,NA,"JOB OVERVIEW

As a Mid-Enterprise Regional Sales Manager (RSM-2), you will hunt and land Mid-Enterprise accounts, using a solution driven sales methodology, to generate and close new business within an assigned territory. The ideal candidate is an energetic sales and SaaS professional who can assess product market fit and time to revenue to engage with new prospects about the on-demand and live opportunities.

This full cycle sales role will allow the ideal candidate the opportunity to navigate and attract new target accounts, work with a business development representative and marketing to qualify opportunities, run sales cycles, and close deals. This newly established role on our sales team is focused on customer acquisition for Mid-Enterprise accounts and is part of a team-based selling Pod structure.

NOTE: Position is remote - U.S. based.

JOB DUTIES/RESPONSIBILITIES

Discover the needs and industry challenges of prospects and provide relevant solutions.

Manage quota and activities to exceed quarterly and annual revenue goals.

Research organizations and relationships between prospects to create a penetration strategy.

 Lead virtual presentations and demos to C-level executives and senior stakeholders.

Leverage Salesforce data to manage and forecast sales activity and ensure pipeline growth aligns with targets.

Work closely Marketing and Sales to evolve strategy as part of an Account Based Marketing (ABM) approach 

Become an expert in our platform, customer needs, competitors and industry issues and trends.

Attend key industry events to enhance networking opportunities.


QUALITIES

5+ years B2B SaaS with a strong track record with high growth companies. Video and/or SaaS industry expertise, preferred.

Record of success qualifying, building, and managing your book to close new business

Ability to build and maintain strong relationships with senior executives and departmental teams.

You love technology, think outside of the box and know enough to be your own sales engineer.

Adept in engaging with prospects to understand their unique and specific pain points and produce compelling business cases to meet their needs.

Comfortable leveraging CRM data to construct, forecast, and manage sales activity and drive pipeline to meet revenue targets.

Driven to find solutions as you map stakeholders into decision-makers and influencers and sell to everyone's unique pain.

Excellent communication style presenting and writing. Tenacious yet tactful.

Collaborative with internal product teams and provide feedback from the field to help shape future development.

Customer-centric as you work seamlessly with internal team members to ensure successful customer handoff and onboarding for new clients."
CyberCoders,1 day ago,Chicago,remote DE underwriter,,"$100,000 - $130,000 a year","remote DE underwriter
If you are a Mortgage DE Underwriter with experience, please read on!

We are a well established 2020 ""Best Places to Work"" and looking to add to our underwriting team. All due to growth! If you're interested in a REMOTE opportunity, please apply today!
What You Will Be DoingReview of the loan applications will require DU/LP or investor automated underwriting input and exceptionClear all conditions on files with 48 hours of receiptMust follow company Policies & Procedures and keep abreast of current FHA/VA, FNMA. FHLMC, RESPA, HMDA, Patriots Act, and investors criteria, which impact the
decision making process
Work with Quality Control, Secondary, and Shipping to ensure the highest quality of file outputAssist to clear all investor purchase conditionsDecline files within regulatory time frames and in accordance with regulations for ECOA
What You Need for this PositionCurrent DE certification
LAPP/SAR a plusAt least 5 years of FHA underwriting experience
Recent remote experience3+ years working with Encompass software
What's In It for YouCompetitive base pay: $100-$130k DOEOT availability
100% REMOTE401k w/ 10% match. Best in the industry!
So, if you are a remote DE underwriter with experience, please apply today!Applicants must be authorized to work in the U.S.
CyberCoders, Inc is proud to be an Equal Opportunity Employer


All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.


Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
CyberCoders,1 day ago,Chicago,REMOTE Mortgage Processor,,"$60,000 - $75,000 a year","REMOTE Mortgage Processor
If you are a REMOTE Mortgage Processor with experience, please read on!
What You Will Be DoingProvides excellent customer service to borrowers and internal customers.
Checks reports and follows up on assigned loans.
Ensures timely handling of all loan files.
Works within all posted service levels on all loans.
Reviews and evaluates documentation for completeness and communicates to customers on a one-on-one basis regarding loan status and any additional required documentation.
Works with the loan officer, borrower, and closer to provide updates, address any issues with loan files, and assure a smooth closing.
Submits completed loan files for underwriting approval.
Understands and adheres to mandatory compliance guidelines and attend training as required.
What You Need for this Position
Required:
2+ Years of Processing Experience2+ Years Working with FNMA, FHLMC, FHA & Jumbo LoansDU/LP Experience
What's In It for YouCompetitive Salary (Based on Experience)Vacation/PTOMedicalDentalVisionBonus401k
So, if you are a REMOTE Mortgage Processor with experience, please apply today!Applicants must be authorized to work in the U.S.
CyberCoders, Inc is proud to be an Equal Opportunity Employer


All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.


Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
CyberCoders,1 day ago,Chicago,Underwriter (Remote),,"$80,000 - $90,000 a year","Underwriter (Remote)
We are looking for remote Underwriter's with 2+ years FHA/VA or Conventional underwriting experience. If you are located in Maryland, New York, North Carolina, Virginia, Ohio, Indiana, Illinois, South Carolina, Pennsylvania, Tennessee, Florida, Delaware, West Virginia, New Jersey, Washington, D.C. we would like to speak with you today!
What You Need for this PositionUnderwriterFHAConventionalDERemote
So, if you are a Underwriter (Remote) with experience, please apply today!Applicants must be authorized to work in the U.S.
CyberCoders, Inc is proud to be an Equal Opportunity Employer


All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.


Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
Celerion,1 day ago,Chicago,Clinical Research Proposal Manager- 100% Remote,,NA,"JOB DESCRIPTION
Celerion is committed to swift, exceptional clinical research through translational medicine. Every day, we use our experience, agility, and innovative research strategies to help get drugs to market faster. Celerion offers one of the most experienced clinical pharmacology research networks in the industry.
We are seeking a Clinical Research Proposal Manager to join our Global Project Manager team. The role of the Proposal Manager is a critical one at Celerion as you will be responsible for managing multiple new business proposals and awards at the same time. You will focus on generating and revising proposals where you, in collaboration with the responsible Business Development Director, deliver proposals to sponsors that win contracts.
Are you project-oriented, financially minded, and detail-driven? Do you find satisfaction in knowing the work you do supports growing our business and delighting our sponsors? If so, we can’t wait to hear from you! This position will give you the opportunity to learn more about clinical research and the Celerion business than you could even imagine.
This full-time benefited position can be located in our Phoenix, AZ or Lincoln, NE locations or 100% remote.
Responsibilities:
Develop comprehensive budgets using an Excel-based proposal tool
Respond to proposal requests in a timely manner as requested in the RFI/RFP/RFQ
Work with VPs across all of our lines of business to ensure proposals are scoped and costed correctly
Schedule and/or participate in project scoping calls, bid defense meetings, and budget review calls with the sponsor and internal teams
Host Kick-Off, Official Award, and Handoff Meetings
Generate and submit contracting documents after projects are awarded as well as follow process through to signature
Assist in the evaluation of the implementation of continuous process improvement
JOB REQUIREMENTS
BA/BS in business/finance/life sciences preferred or equivalent education and experience
3-5 years of experience in clinical research preferred, including the ability to read and comprehend a protocol
Experience with budgeting of early phase clinical studies are a plus
Ability to build strong client relationships
Ability to multitask and work against strict deadlines
Strong communication skills, both written and verbal, with the ability to communicate competently with sponsors, as well as colleagues and superiors throughout Celerion

Celerion Values: Integrity Trust Teamwork Respect
Are you ready to join our team?
Celerion is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, genetic information, marital status, qualified protected veteran status, or disability.
Check out this article about Celerion Lincoln:50 Years After the First Clinical Trial"
Unit4,1 day ago,Chicago,Sales Executive - New Business - Public Sector - Remote (ERP),,NA,"We have a fantastic opportunity within Unit4 for an Account Executive – New business to join our successful, growing and highly motivated sales team. In this senior role, you'll be tasked with selling our range of Unit4 ERP, HCM and FP&A into the Public Sector Vertical.
Reporting directly to the Public Sector Sales Director, your role as a Account Executive will be to develop a new business sales plan and strategy to win new license sales revenue in line with specific sales targets, taking ownership of specific sub-vertical
You will take a leading role and be actively involved in company activities, such as regular sales meetings, forecasting, the achievement of annual targets etc
You are actively involved in company activities, such as regular sales meetings, to keep in touch with colleagues and clients.
You work closely with management, the solution consulting team, operations, partners and clients to ensure that effective proposals and plans are presented to customers and partners.
You highlight business benefits that will be achieved by investing in our solutions.
Furthermore, you keep yourself up-to-date with all relevant technologies used by Unit4 and changes in the sector, including an appropriate level of understanding of the solutions we provide.
Qualifications
Must have experience selling ERP, HCM, or FP&A solutions
Must have experience selling into Public Sector
An excellent understanding of business processes
A passionate new business (hunter) sales professional relentless in finding new opportunities
A lively and enthusiastic personality, which you transfer onto your colleagues
A true negotiator. You keep your and your client’s needs and wants in mind
Individual Contributor with leadership qualities
Mentor and guide sales teams as subject matter expert
Maintain Executive Presence by representing Unit4 CMP to analysts, at Key Trade Shows
Experience selling to CxO suite
Team player with solution sales motivation and helping customers solve their toughest questions
Bachelor's Degree / Master’s Degree or MBA desired
Additional Information
Join Unit4 and you’ll be part of one of the most exciting journeys in the ERP cloud software space today.
A culture built on trust. That’s why we offer our people an uncapped time off policy and remote working opportunities. We focus on results, not how many days you work or where that work takes place
One of the most lucrative commission plans in the industry and a range of market-leading benefits
World-class sales tools and a pipeline development engine in the form of a global BDR team.
On-going monthly learning & development opportunities
Work, learn & be inspired by some of the best talent in the software space
Talent program for high performers. Each year we provide a platform for high potential talent to accelerate their careers!
Committed to corporate social responsibility with our Act4Good initiative, our global movement to do good, and a way for everyone at Unit4 to come together and engage in actions that benefit society
Diversity4U. Helping our people thrive starts with a safe and inclusive work environment. We launched our Diversity4U program that builds on our “be genuine” value"
Mosquito Shield Franchise Corp,1 day ago,Chicago,Regional Marketing Coordinator (RMC),Bachelor's (Preferred)Marketing: 2 years (Preferred),"From $42,000 a year","Regional Marketing Coordinator (RMC)Mosquito Shield Franchise Corporation is looking for a highly motivated Regional Marketing Coordinator (RMC). As the “go-to” marketing resource, RMC’s earn trust and deliver frustration-free marketing campaign experiences to all our Franchisees. This is accomplished through seamless project management while upholding a high standard of marketing excellence and accountability. You will work with our marketing leadership team and supporting vendors to deliver results that positively impact our Franchisees long-term growth. The RMC will be responsible for maintaining performance data integrity and providing budget and campaign insights. The role is fast-paced and offers team members continual opportunities to learn, be curious and develop their skills.Job Responsibilities: Responsible for the execution of local marketing campaigns for a group of Mosquito Shield Franchisees by managing objectives and strategies as a key member of the marketing team. Also responsible for the execution of marketing campaigns for participating Decorate With Lights Franchisees.Consult with marketing stakeholders and Franchisees using historical and live campaign performance data to meet or exceed KPIs at the local franchise level.Obsess over Franchisee satisfaction and monitor performance against expectations to ensure each location meets its annual goals.Hold Franchisees accountable to brand standards and messaging, acting as a brand steward and, at times, compliance officer.Basic Requirements: Bachelor’s Degree in Marketing or related field.2+ years of experience managing digital ad campaigns, including SEM, Display, and Video, and Social media.Traditional marketing experience, such as direct mail, broadcast media, and public relations.Ability to multitask, manage, and optimize within the confines of an extremely compressed consumer sales season.Ability to write/edit email communications and help develop other marketing support materials.Preferred Qualifications: Consumer marketing experience: experience with home services and/or franchises strongly preferred.Adaptable and quick to learn new processes and tools, demonstrating strong technical/operational capabilities.Experience with ad technology such as Google Analytics, digital marketing vendor dashboards, and comfortable using sales enablement tools such as a CRM.Experience with utilizing Adobe Suite for ad creative.Persuasive Communicator.Job Type: Full-timePay: From $42,000.00 per yearBenefits:Health insuranceRetirement planSchedule:Monday to FridayEducation:Bachelor's (Preferred)Experience:Marketing: 2 years (Preferred)Work Location:Fully RemoteBenefit Conditions:Only full-time employees eligibleWork Remotely:YesCOVID-19 Precaution(s):Remote interview process"
Phalen Leadership Academies,1 day ago,Chicago,Regional Recruiter,,NA,"PHALEN LEADERSHIP ACADEMIES
www.phalenacademies.org
REGIONAL RECRUITER
WHAT YOU WILL DO:
Our Regional Recruiter will manage the full life-cycle recruiting process, including: sourcing, screening, offer negotiation, and initiating the onboarding process for a region to support our growing school network. We are seeking a highly responsive, customer focused individual with an entrepreneurial spirit able to manage a fast-paced and rapidly growing work environment.
This position supports the Northwest Indiana region in Gary and Merrillville and recruits for positions including K-12 teachers, school leaders, teacher's assistance, front office staff, teacher interns and other school-based, regional, and national positions. We are only considering candidates who live in, or are within, a 30-mile proximity to our school communities in Merrillville/Gary, Indiana.
A heavy emphasis on this role is placed on sourcing and recruiting talent. Utilizing sales, research, and networking skills, the position will require the proactive identification of active and passive talent through flawless execution of our process and creative thinking for challenging roles and markets. The position will also be responsible for networking using various media outlets, database management, internet resume mining, cold calling, and local school/organization recruiting.

Qualified candidates will have at least 2-3 years of recruiting experience. While we provide excellent guidance and support, recruiter candidates must be self-motivated and self-sufficient, and have prior demonstrated experience in doing so. Much of the work of this role is conducted with hiring managers and candidates via phone, video conference, and email, but may also include onsite visits, participation in community events, job fairs, and career presentations at schools and other organizations.
This position is a full-time, benefited, salaried remote position reporting to the National Director of Recruitment.
DO YOU HAVE
A Bachelor’s degree or 3+ years relevant experience in recruitment, sales, or marketing
Bachelor's degree required, or, at least 3 years of equivalent work experience required
Demonstrated internal customer service skills, including troubleshoot and problem solving experiences
Ability to communicate effectively both in-person and through written correspondences and presentations with candidates, peers, managers, and leadership
Ability to work in dynamic, fast paced environment, and keep up with a high volume of activity
1 year of sourcing and/or talent mining experience
The ability to work a flexible schedule to meet target goals and objectives
AND ARE YOU
Detail oriented, self-motivated, strong organizational skills and ability to prioritize
Willing to travel, about 20-40% to various locations, as required to support regional events
Able to work from a home office and supply your own laptop/computer with webcam, cell phone, and printer
WHAT ARE YOU WAITING FOR? APPLY NOW!
WHO ARE WE?
At PLA, we share an unwavering belief and passion for educating and empowering scholars from under-served communities driven by our Core Values: children first, respect, determination, continuous improvement, and gratitude. Our approach to leading successful schools builds on over 20 years of experience running educational programs for children, the latest scientific research, and the best practices throughout the nation.
To create this kind of vibrant learning community, we hire only the best of the best educators & industry leaders and invest heavily in our faculty through ongoing professional development and support. We value people like you, people with a dedication to excellence and a passion for helping all our scholars develop the knowledge, skills, and character necessary to succeed while fueling their aspirations for the future.
PLA is an equal opportunity employer and participates in E-Verify in all states that require it.
Please read carefully.
Phalen Leadership Academies (PLA) is an equal opportunity employer. PLA does not discriminate in employment on account of race, color, religion, national origin, citizenship status, ancestry, age, sex (including sexual harassment), sexual orientation, marital status, physical or mental disability, military status or unfavorable discharge from military service.
By completing this application you understand that neither the completion of this application nor any other part of my consideration for employment establishes any obligation for PLA to hire me. If hired, I understand that either PLA or I can terminate my employment at any time and for any reason, with or without cause and without prior notice. I understand that no representative of PLA has the authority to make any assurance to the contrary.
You attest by applying to this position that you have given PLA true and complete information on this application. No requested information has been concealed. I authorize PLA to contact references provided for employment reference checks. If any information I have provided is untrue, or if I have concealed material information, I understand that this will constitute cause for the denial of employment or immediate dismissal.
Powered by JazzHR
LG2AhihJFE"
Crowe,1 day ago,Chicago,Financial Crime Manager - Regulatory Validation and Remediation (Minimal Travel),,NA,"Your Journey at Crowe Starts Here
Your Journey at Crowe Starts Here:
At Crowe, you have the opportunity to deliver innovative solutions to today’s complex business issues. Crowe’s accounting, consulting, and technology personnel are widely recognized for their in-depth expertise and understanding of sophisticated process frameworks and enabling technologies, along with their commitment to delivering measurable results that help clients build business value. Our focus on emerging technology solutions along with our commitment to internal career growth and exceptional client value has resulted in a firm that is routinely recognized as a “Best Place to Work.” We are 75 years strong and still growing. Come grow with us!
Job Summary
Joining our Financial Services Consulting practice is an opportunity to help make the world more honest, transparent, safe, and secure. From day one of being on our team, you will assist our clients with transforming their governance, embedding risk in their decision-making and maintaining efficient compliance. We will enable an entrepreneurial and innovative environment for you to deliver transformative consulting services and to develop deeply specialized skill sets demanded in today’s market.

Crowe is looking for a detail-oriented individual to join our fast-paced Financial Crime Compliance team. When you become a part of our Financial Crime team, you will work with a broad array of professionals who take pride in providing cutting edge industry AML and regulatory best practices with the goal of assisting clients administering a sound and compliant AML risk management environment. The ideal candidate will have a solid understanding of Anti-Money Laundering (AML) and Bank Secrecy Act (BSA) laws; regulatory consent order action plans and artifact validation; risk and control matrices; and design/operational effectiveness testing. This position would focus on long-term AML consent order validations (12+ months) at complex large and mid-sized financial institutions. Projects are facilitated remotely in a team atmosphere. Job expectations include:
Assisting financial services clients who are under consent orders in need of remediation/validation of artifact packagesManaging multiple teams and workstreams and providing performance feedback to all members of those teamsDeveloping relationships with a variety of clients
Anticipating and addressing client concerns and resolving problems as they arisePromoting new ideas and business solutions that result in extended services to existing clientsServing as a career coach and mentor for new staff
Location: Primarily Remote (Work from Home) Position. A small amount of travel may be required based on client requirements.
Qualifications
Bachelor’s Degree
Advanced verbal and written communication skills
Certified Anti-Money Laundering Specialists (CAMS), Certified Internal Auditor (CIA), Certified Information Systems Analyst (CISA), Certified Regulatory Compliance Manager (CRCM) or other relevant professional certification
5+ years’ experience in leading or facilitating AML/BSA reviews, consulting/advisory services and/or internal audit/compliance reviews at globally diversified financial services organizations
Prior financial services internal audit consulting or financial services third line internal audit experience
Experience providing oversight and managing the development and testing process against remediation action plans
Experience with second or third line control effectiveness testing against remediation action plans
Effective project and time management, collaboration, and communication skill with all levels of the organization, including excellent organizational skills and experience monitoring deadlines and tracking documentation for timely submission to senior management and/or regulators.
Experience identifying, assessing, challenging and overseeing the satisfactory resolution of issues, including ensuring adequate management of remediation plans and validation
Ability to travel up to 5% if requested for project(s)
Preferences:
Demonstrated supervisory, management and/or team leadership experience, preferably in a consulting environment for all phases of an audit, inclusive of planning, conducting and documenting process walkthroughs, developing and executing test procedures and reporting of deliverables
High proficiency with AML/BSA regulatory requirements for retail banking activities, products and services, inclusive of a high level of expertise in banking regulations, directives and guidance
Experience in developing/reporting of KRIs/KPIs for consent order validations
Experience submitting written or oral reports of audit results to senior management and audit committees including findings, analysis, conclusions and recommended actions
Knowledge and practical use of statistical analytics and testing methods
Experience working in a project environment with top 50 banks
Experience working in a professional services or project-based environment
.
Build a Successful Future in Consulting
At Crowe, Consulting professionals provide thought leadership, process expertise, technology insight and help clients identify, assess, evaluate, and reduce risks. Our Consulting professionals serve large organizations across many industries in an environment where innovation and new ideas are highly encouraged. Through various programs, we provide you with learning and reinvention through high-impact formal and systemic training, including industry, solution, technology, and consulting training, as well as certification. You will be part of a strong global team environment with a fast-paced, challenging, and collaborative setting.
At Crowe, we strongly endorse an open-door policy. Our partners are approachable and accessible across the entire organization. Our team-based culture encourages partners to be in touch with our professionals and active on client projects. The partners of our company lead by example and maintain a strong two-way channel of communication with their teams. We strive to create an environment that is relaxed, fun, dynamic and fulfilling. Our team-based culture has not only resulted in successful projects, but in long lasting friendships as well. Overall, our people find their career choices to be highly rewarding and fulfilling.
HOW YOU CAN GROW:
We will nurture your talent in an inclusive culture that values diversity. You will have the chance to meet on a consistent basis with your Career Coach that will guide you in your career goals and dreams.
Crowe (www.crowe.com) is one of the largest public accounting, consulting and technology firms in the United States. Crowe uses its deep industry expertise to provide audit services to public and private entities while also helping clients reach their goals with tax, advisory, risk and performance services. Crowe is recognized by many organizations as one of the country's best places to work. Crowe serves clients worldwide as an independent member of Crowe Global, one of the largest global accounting networks in the world. The network consists of more than 200 independent accounting and advisory services firms in more than 130 countries around the world.
Visit Crowe.com and find out what it's like to work at one of the “50 Best Workplaces for New College Graduates.” Crowe ranked seventh on this Fortune list, in addition to being named one of Fortune’s “Top 100 Best Companies to Work For” and among Fortune’s “20 Best Workplaces in Consulting & Professional Services”. In these surveys, Crowe personnel attribute the following policies to making Crowe a great place to work:
Innovation: Each year, Crowe invests about two percent of firm revenue in new product development funding to develop ideas brought forward by its people. Building upon a foundation of deep industry specialization, Crowe professionals follow a detailed innovation road map to create original, practical solutions that help address their clients’ biggest challenges. This process allows them to see their ideas through from start to finish.
Mobility strategy: Rolled out more than two years ago, this strategy defied the norm of the professional services industry. It allows Crowe personnel to work where they’re most productive – whether that be the office, their home or elsewhere – and wear jeans while they’re in the office. This policy continues to receive great reviews on annual internal employee engagement surveys.
Benefits: The firm promotes healthy living through its internal well-being portal, which allows Crowe individuals to complete wellness activities – such as exercise challenges, healthy eating, doctor visits and mindful lifestyle changes – for gift cards and health insurance premium reductions. Additionally, on top of its healthcare and retirement programs, Crowe recently expanded its paid time off policies for military leave and all new parents.
Community service: Recently acknowledged in the Fortune Best Workplaces for Giving Back list, the firm places a high priority on community service. In honor of the firm’s 75th year, Crowe personnel not only achieved, but surpassed their goal of 75,000 hours of volunteering. We're proud to announce that we volunteered 82,000 hours – giving back to the communities where we live and work. That’s the equivalent of 39 full-time employees at the nonprofits we served! In addition, Crowe has policies in place to align its charitable contributions with the volunteer efforts of its people.
Visit Crowecareers.com and find out what it's like to work with people who love what they do!
EOE
M/F/D/V"
Accounting Principals,1 day ago,Chicago,Cash Analyst,,NA,"Acconting Principals is looking for direct hire cash analyst! This role will be 100% remote but will have to go back into office in their Chicago office. The ideal person would be doing accounting that is a finance major and wants to pivot their career into something different. Please apply if you meet requirements!

Requirements:
Bachelors degree in Accounting, Finance, Econ
1-3 years of experience
Strong Excel
Confident, self-starter
Interested in cash management and banking
Treasury experience is helpful
Be able to work in a fast paced environment

Responsibilities:
Initiating online payments using various banking platforms
Organizing bank data
Confirming third-party wire instructions
Making depositing and saving bank statement
Very high volume transactions, setting up wires in banking platforms and they use 11 banks (500-600 bank accounts)

Equal Opportunity Employer/Veterans/Disabled

To read our Candidate Privacy Information Statement, which explains how we will use your information, please

The Company will consider qualified applicants with arrest and conviction records"
"Center for Autism and Related Disorders, Inc.",2 days ago,Chicago,Remote Recruiter,Bachelor's (Required)Recruiting: 1 year (Required),NA,"ORGANIZATIONThe Center for Autism and Related Disorders (CARD), LLC, is among the world’s largest and most experienced organizations effectively treating individuals with autism and related disorders. With US and international reach, CARD touches the lives of thousands of people affected by autism and their families. Through a network of trained therapists, supervisors, and researchers, we develop and implement quality, comprehensive, and personalized treatment programs that produce measurable results for every patient.CARD has designed a unique treatment curriculum using the principles and procedures of applied behavior analysis (ABA) and built a global organization of dedicated and highly trained staff. Currently, CARD has over 250 centers across the U.S. and affiliate sites across the globe.Department: RecruitingSupervisor: Recruiting ManagerExemption: Non-Exempt or ExemptDESCRIPTIONThe Recruiter will play an important part in the recruitment process. They will work closely with CARD’s recruiters and provide them with major support services. The Recruiter will spend a large portion of their time conducting internet research, creating and maintaining therapist job postings on various job boards, sourcing for therapist candidates and scheduling phone interviews for CARD recruiters. Modes of sourcing include, but are not limited to the following: Indeed, LinkedIn, Better Team, Handshake, and Facebook. The Recruiter will also make contact with community venues and local colleges to set up recruiting-related events. The Recruiter will also use social media as a means to recruit therapist candidates. Due to the sensitivity of the department, the Recruiter must be able to maintain a high level of confidentiality.RESPONSIBILITIESImplement and represent CARD policyRepresent CARD professionally and ethically to internal and external stakeholdersResearch and recommend new sources for active and passive candidate recruitingHandle classified advertising and utilize the Internet for recruitmentUse social and professional networking sites to identify and source candidatesHelp with college recruiting initiativesSchedule phone interviewsSource suitable candidates through various sourcing channelsSubmit weekly activity reports to recruiting supervisorConsistently meet weekly and monthly goalsActively participate in weekly recruiting meetings with assigned CARD location personnel and recruitersQUALIFICATIONSHigh school Diploma required, bachelor’s degree preferred1-2 years of recruiting experienceExcellent inter-personal relationship skills and ability to work with individuals of all levelsGood time management skillsExcellent written and verbal communication skillsAbility to multi-task and handle large phone correspondencesDetail-oriented, organized and have the ability to work independently and as part of a teamKnowledge of all computer applications, such as: Excel, Word, PowerPoint, and OutlookAbility to make cold calls and source talent at all levels of the organization.Must be a confident self-starter who can develop effective business relationships, both internally & externally.Work from home positionJob Type: Full-timeEducation:Bachelor's (Required)Experience:Recruiting: 1 year (Required)"
National Catcholic Reporter,1 day ago,Chicago,National News Editor,Bachelor's (Preferred),NA,"National News Editor This position is responsible for overseeing national coverage for the National Catholic Reporter, working with the national correspondent, other NCR correspondents, interns/fellows and a cadre of freelance writers to cover breaking news, features and analysis about the church in the U.S. The National News Editor works with other NCR editors (executive, managing, opinion and international) to make content decisions for the entire publication, and serves on the editorial-writing team. Although the national correspondent has primary responsibility for this expansive beat, this editor can also occasionally contribute content on the U.S. Catholic Church, religion and spirituality, social trends, politics and public policy issues. This person reports directly to the executive editor.The responsibilities are as follows:Maintain and expand area of expertise, in this case, the U.S. Catholic Church, religion and spirituality, social trends, politics and public policy issues; bring and continue to cultivate a network of sources, especially within institutions such as national and state bishops’ conferences, Catholic colleges and universities, parishes, Catholic think tanks and advocacy groups;Working with the executive editor, develop coverage plans for innovative coverage of national beat, with an emphasis on NCR’s mission of transparency and accountability and those on the margins;Work with national correspondent, other NCR correspondents, interns/fellows on story assignments and story ideas; commission freelance writers for articles in the national beat; review pitches in those beats;Review and edit manuscripts, in conjunction with other editors, as well as provide feedback on articles being considered for publication;Write occasional editorials in the area(s) of expertise;Occasionally contribute stories: Envision and execute breaking news, in-depth analysis and investigative stories for print, online publication and social media, through written content, multimedia, data journalism and alternative storytelling;Collaborate with EarthBeat and Global Sisters Report editors and teams;Occasionally post breaking news and/or wire stories, using Drupal;Work with production and engagement editors to expand NCR's presence on social media and with multimedia content; interact regularly on social media platforms that grow traffic and reach across generations;Represent the publication through speaking engagements, at conferences and through media appearances;Work from a home base and through pre-approved travel;Maintain high standards of accuracy, accountability and integrity.Other duties as assigned by executive editor.The ideal candidate for this position will be able to demonstrate:Bachelor's degree or higher, five years of experience reporting on Catholic issues, with a known range of contacts in the field;A successful track record of editorial leadership;Knowledge of the Catholic Church, social issues and political issues;Experience as an assigning editor on a variety of story forms including breaking news, profiles, investigations and interactive formats;Capacity to achieve fluency in a content management system (NCR currently uses Drupal);Ability to work collegially with a geographically-dispersed staff;Excellent communication skills;Capacity to self-motivate and work both independently and as part of a team;Ability and willingness to travel regularly; residence in or near a major urban center a plus.Organizational overview:The National Catholic Reporter Publishing Company (NCR) is a non-profit, independent, lay-led news organization that reports on the Catholic Church and wider moral issues facing the human family. It publishes the National Catholic Reporter 26 times a year in print and daily at ncronline.org. It also publishes Global Sisters Report and EarthBeat online. These publications are committed to shaping a world that recognizes the sacredness and dignity of every human being, regardless of religious belief, gender, race, ethnicity, or sexual orientation. Throughout our history, NCR has been a voice for the voiceless, disadvantaged and marginalized. It has held authority, secular or religious, accountable.COMPANY NAME: National Catholic ReporterCONTACT INFORMATION & APPLICANT INSTRUCTIONS:To apply:Interested parties should submit a cover letter explaining their interest and describing their qualifications. Please include a resume with career history and three writing samples. Women and journalists of color are encouraged to apply.Position carries full benefits and salary commensurate with experience. All communications will be treated confidentially. All nominations, applications and inquiries should be directed electronically by Feb. 26, 2021.The National Catholic Reporter Publishing Company is an Equal Opportunity Employer and will not discriminate in the hiring process on the basis of race, gender, sexual orientation, color, age, national origin/ethnicity or religion.Job Type: Full-timePay: Up to $1.00 per yearBenefits:401(k)401(k) matchingDental insuranceFlexible scheduleHealth insurancePaid time offParental leaveVision insuranceSchedule:Monday to FridayEducation:Bachelor's (Preferred)Experience:Editorial: 4 years (Preferred)Work Location:Fully RemoteThis Company Describes Its Culture as:Stable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedCompany's website:https://www.ncronline.org/Company's Facebook page:https://www.facebook.com/NCRonline/Benefit Conditions:Only full-time employees eligible"
